z U
5.335412999999999784e+02 2.468135000000000190e+00
5.496149000000000342e+02 2.462015000000000065e+00
5.652716000000000349e+02 2.457066999999999890e+00
5.804776000000000522e+02 2.454018000000000033e+00
5.952021999999999480e+02 2.449991999999999948e+00
6.094190999999999576e+02 2.444812999999999903e+00
6.231058000000000447e+02 2.441117999999999899e+00
6.362440000000000282e+02 2.439486000000000043e+00
6.488201000000000249e+02 2.440039000000000069e+00
6.608247000000000071e+02 2.442066000000000070e+00
6.722532999999999674e+02 2.444971999999999923e+00
6.831058000000000447e+02 2.448252999999999791e+00
6.933868999999999687e+02 2.451849999999999863e+00
7.031058000000000447e+02 2.456660999999999984e+00
7.122762999999999920e+02 2.463696000000000108e+00
7.209165000000000418e+02 2.473269999999999857e+00
7.290489999999999782e+02 2.484488999999999947e+00
7.367001999999999953e+02 2.496331000000000078e+00
7.439006000000000540e+02 2.508160000000000167e+00
7.506842000000000326e+02 2.519626999999999839e+00
7.570883999999999787e+02 2.530661999999999967e+00
7.631535999999999831e+02 2.541332000000000146e+00
7.689230999999999767e+02 2.551725999999999939e+00
7.744424999999999955e+02 2.561977999999999867e+00
7.797590999999999894e+02 2.572198000000000206e+00
7.849224000000000387e+02 2.582397999999999971e+00
7.899827000000000226e+02 2.592696000000000112e+00
7.949913999999999987e+02 2.603396000000000043e+00
7.999913999999999987e+02 2.614972999999999992e+00
8.049913999999999987e+02 2.628066000000000013e+00
8.099913999999999987e+02 2.643231000000000108e+00
8.149913999999999987e+02 2.661274999999999835e+00
8.199913999999999987e+02 2.683921999999999919e+00
8.249913999999999987e+02 2.714827000000000101e+00
8.299913999999999987e+02 2.762503000000000153e+00
8.349913999999999987e+02 2.848596999999999824e+00
8.399913999999999987e+02 3.003379999999999939e+00
8.449913999999999987e+02 3.318830000000000169e+00
8.499913999999999987e+02 3.915027999999999953e+00
8.549913999999999987e+02 4.570049000000000028e+00
8.599913999999999987e+02 5.040807000000000038e+00
8.649913999999999987e+02 5.314092999999999734e+00
8.699913999999999987e+02 5.484581999999999624e+00
8.749913999999999987e+02 5.630806999999999896e+00
8.799913999999999987e+02 5.791720999999999897e+00
8.849913999999999987e+02 5.973576000000000441e+00
8.899913999999999987e+02 6.164653999999999634e+00
8.949913999999999987e+02 6.357915000000000205e+00
8.999913999999999987e+02 6.549064999999999692e+00
9.049913999999999987e+02 6.729652999999999885e+00
9.099913999999999987e+02 6.885189999999999699e+00
9.149913999999999987e+02 6.963710999999999984e+00
9.199913999999999987e+02 6.983832999999999736e+00
9.250027999999999793e+02 7.009528999999999677e+00
9.300825999999999567e+02 7.026538000000000395e+00
9.352993999999999915e+02 7.049129999999999896e+00
9.407214999999999918e+02 7.070242999999999611e+00
9.464175000000000182e+02 7.092139999999999667e+00
9.524556999999999789e+02 7.115531999999999968e+00
9.589045999999999594e+02 7.139442999999999984e+00
9.658327000000000453e+02 7.165263000000000382e+00
9.733084000000000060e+02 7.192769000000000190e+00
9.814002000000000407e+02 7.221911999999999665e+00
9.901766000000000076e+02 7.254444000000000337e+00
9.997059000000000424e+02 7.290697999999999901e+00
1.010057000000000016e+03 7.330867999999999718e+00
1.021297000000000025e+03 7.374765000000000015e+00
1.033496000000000095e+03 7.422557000000000293e+00
1.046721999999999980e+03 7.473989000000000438e+00
1.061042999999999893e+03 7.529907999999999824e+00
1.076528000000000020e+03 7.590608999999999718e+00
1.093244999999999891e+03 7.657051000000000052e+00
1.111261999999999944e+03 7.728946999999999790e+00
1.130648999999999887e+03 7.806784000000000390e+00
1.151472999999999956e+03 7.890007999999999910e+00
1.173803000000000111e+03 7.979384999999999728e+00
1.197707000000000107e+03 8.075884000000000285e+00
1.223255000000000109e+03 8.181839000000000084e+00
1.250512999999999920e+03 8.290392000000000650e+00
1.279551999999999907e+03 8.439743999999999247e+00
1.310439000000000078e+03 8.569001000000000090e+00
1.343241999999999962e+03 8.705823000000000533e+00
1.378029999999999973e+03 8.850981000000000876e+00
1.414873000000000047e+03 9.004870999999999626e+00
1.453836999999999989e+03 9.167811000000000377e+00
1.494990999999999985e+03 9.339885999999999910e+00
