z BFRES BFSGS
1.309275449101796385e+00 -5.220702000000000528e-07 0.000000000000000000e+00
1.330852694610778375e+00 -4.775888999999999574e-07 0.000000000000000000e+00
1.354070658682634543e+00 -3.625948000000000143e-07 0.000000000000000000e+00
1.379009580838323368e+00 -2.151187000000000058e-07 0.000000000000000000e+00
1.405752095808383340e+00 -3.085274000000000155e-07 0.000000000000000000e+00
1.434379640718562943e+00 -2.350996000000000123e-07 0.000000000000000000e+00
1.464976047904191780e+00 -5.501301999999999745e-08 0.000000000000000000e+00
1.497620359281436997e+00 7.830190999999999973e-08 0.000000000000000000e+00
1.532397604790419088e+00 -1.080990999999999995e-07 0.000000000000000000e+00
1.569388023952095867e+00 -1.956297000000000091e-07 0.000000000000000000e+00
1.608673053892215599e+00 -1.692057000000000101e-07 0.000000000000000000e+00
1.650335329341317436e+00 -1.062770999999999981e-07 0.000000000000000000e+00
1.694458682634730540e+00 -4.604741000000000033e-08 0.000000000000000000e+00
1.741122155688622719e+00 -6.987383999999999949e-09 0.000000000000000000e+00
1.790408383233532907e+00 3.980708000000000369e-12 0.000000000000000000e+00
